layer,level,class,id,metric,value,tf_id,dist
1,landscape,NA,NA,shdi,0,137,1000
2,landscape,NA,NA,frac_mn,1.0586590609559272,137,1000
2,landscape,NA,NA,msidi,0.1649362259548198,137,1000
2,landscape,NA,NA,para_mn,0.30096199637594795,137,1000
2,landscape,NA,NA,shdi,0.37640431070633373,137,1000
1,landscape,NA,NA,frac_mn,1.0929913567702936,138,1000
1,landscape,NA,NA,msidi,-0,138,1000
1,landscape,NA,NA,para_mn,0.1628874624524132,138,1000
1,landscape,NA,NA,shdi,0,138,1000
2,landscape,NA,NA,frac_mn,1.0742485442064844,138,1000
2,landscape,NA,NA,msidi,0.8300585805387765,138,1000
2,landscape,NA,NA,para_mn,0.2952617236244951,138,1000
2,landscape,NA,NA,shdi,0.9561603165729208,138,1000
1,landscape,NA,NA,frac_mn,1.1171560714974538,139,1000
1,landscape,NA,NA,msidi,-0,139,1000
1,landscape,NA,NA,para_mn,0.11830394819229056,139,1000
1,landscape,NA,NA,shdi,0,139,1000
2,landscape,NA,NA,frac_mn,1.0714778516862877,139,1000
2,landscape,NA,NA,msidi,0.6521720410275069,139,1000
2,landscape,NA,NA,para_mn,0.26946987283812557,139,1000
2,landscape,NA,NA,shdi,0.7081801786682993,139,1000
1,landscape,NA,NA,frac_mn,1.0810988073323522,140,1000
1,landscape,NA,NA,msidi,-0,140,1000
1,landscape,NA,NA,para_mn,0.15471836379755052,140,1000
1,landscape,NA,NA,shdi,0,140,1000
2,landscape,NA,NA,frac_mn,1.0599443360802752,140,1000
2,landscape,NA,NA,msidi,0.04729665207597989,140,1000
2,landscape,NA,NA,para_mn,0.30039053560198103,140,1000
2,landscape,NA,NA,shdi,0.1352598780753323,140,1000
1,landscape,NA,NA,frac_mn,1.0884620446712985,141,1000
1,landscape,NA,NA,msidi,-0,141,1000
1,landscape,NA,NA,para_mn,0.12150854477467639,141,1000
1,landscape,NA,NA,shdi,0,141,1000
2,landscape,NA,NA,frac_mn,1.0577874311758684,141,1000
2,landscape,NA,NA,msidi,0.2513957955586126,141,1000
2,landscape,NA,NA,para_mn,0.30617408722045736,141,1000
2,landscape,NA,NA,shdi,0.5313892676972622,141,1000
1,landscape,NA,NA,frac_mn,1.1096015933638377,142,1000
1,landscape,NA,NA,msidi,-0,142,1000
1,landscape,NA,NA,para_mn,0.10243645644705414,142,1000
1,landscape,NA,NA,shdi,0,142,1000
2,landscape,NA,NA,frac_mn,1.0607385945053378,142,1000
2,landscape,NA,NA,msidi,0.11108015151916592,142,1000
2,landscape,NA,NA,para_mn,0.2953300388913599,142,1000
2,landscape,NA,NA,shdi,0.2572342586773324,142,1000
1,landscape,NA,NA,frac_mn,1.1558226298430743,143,1000
1,landscape,NA,NA,msidi,-0,143,1000
1,landscape,NA,NA,para_mn,0.11772760582155097,143,1000
1,landscape,NA,NA,shdi,0,143,1000
2,landscape,NA,NA,frac_mn,1.0705682792851512,143,1000
2,landscape,NA,NA,msidi,0.4764820936893441,143,1000
2,landscape,NA,NA,para_mn,0.29958171393043287,143,1000
2,landscape,NA,NA,shdi,0.7297978066214409,143,1000
1,landscape,NA,NA,frac_mn,1.124240107025235,144,1000
1,landscape,NA,NA,msidi,-0,144,1000
1,landscape,NA,NA,para_mn,0.1138502644119477,144,1000
1,landscape,NA,NA,shdi,0,144,1000
2,landscape,NA,NA,frac_mn,1.0651482832754537,144,1000
2,landscape,NA,NA,msidi,0.1608455974762084,144,1000
2,landscape,NA,NA,para_mn,0.313284502171901,144,1000
2,landscape,NA,NA,shdi,0.35300858463901225,144,1000
1,landscape,NA,NA,frac_mn,1.1123446657914664,145,1000
1,landscape,NA,NA,msidi,-0,145,1000
1,landscape,NA,NA,para_mn,0.13259836103863717,145,1000
1,landscape,NA,NA,shdi,0,145,1000
2,landscape,NA,NA,frac_mn,1.0673297711185734,145,1000
2,landscape,NA,NA,msidi,0.6559374845877104,145,1000
2,landscape,NA,NA,para_mn,0.30257800499219256,145,1000
2,landscape,NA,NA,shdi,0.9595560616863688,145,1000
1,landscape,NA,NA,frac_mn,1.127043288541253,146,1000
1,landscape,NA,NA,msidi,-0,146,1000
1,landscape,NA,NA,para_mn,0.11066263066452375,146,1000
1,landscape,NA,NA,shdi,0,146,1000
2,landscape,NA,NA,frac_mn,1.0684771860955413,146,1000
2,landscape,NA,NA,msidi,0.4690624812605762,146,1000
2,landscape,NA,NA,para_mn,0.3003907997610872,146,1000
2,landscape,NA,NA,shdi,0.6639131638990058,146,1000
1,landscape,NA,NA,frac_mn,1.0957623372216438,147,1000
1,landscape,NA,NA,msidi,-0,147,1000
1,landscape,NA,NA,para_mn,0.13501263146848377,147,1000
1,landscape,NA,NA,shdi,0,147,1000
2,landscape,NA,NA,frac_mn,1.0636718092854596,147,1000
2,landscape,NA,NA,msidi,0.17210974053175299,147,1000
2,landscape,NA,NA,para_mn,0.31468720079019596,147,1000
2,landscape,NA,NA,shdi,0.35553820107064393,147,1000
1,landscape,NA,NA,frac_mn,1.1099589940753727,148,1000
1,landscape,NA,NA,msidi,-0,148,1000
1,landscape,NA,NA,para_mn,0.1374367921297562,148,1000
1,landscape,NA,NA,shdi,0,148,1000
2,landscape,NA,NA,frac_mn,1.0754276468596957,148,1000
2,landscape,NA,NA,msidi,0.7179477857176215,148,1000
2,landscape,NA,NA,para_mn,0.294584596246817,148,1000
2,landscape,NA,NA,shdi,0.7740537217093627,148,1000
1,landscape,NA,NA,frac_mn,1.131268534741785,149,1000
1,landscape,NA,NA,msidi,-0,149,1000
1,landscape,NA,NA,para_mn,0.1146155573974984,149,1000
1,landscape,NA,NA,shdi,0,149,1000
2,landscape,NA,NA,frac_mn,1.05998242788641,149,1000
2,landscape,NA,NA,msidi,0.21218205036626617,149,1000
2,landscape,NA,NA,para_mn,0.3073608536034106,149,1000
2,landscape,NA,NA,shdi,0.4532563536345781,149,1000
1,landscape,NA,NA,frac_mn,1.0938714483427519,150,1000
1,landscape,NA,NA,msidi,-0,150,1000
1,landscape,NA,NA,para_mn,0.19949336513414823,150,1000
1,landscape,NA,NA,shdi,0,150,1000
2,landscape,NA,NA,frac_mn,1.063866256275242,150,1000
2,landscape,NA,NA,msidi,0.21062136593042094,150,1000
2,landscape,NA,NA,para_mn,0.3142604749654902,150,1000
2,landscape,NA,NA,shdi,0.44085290698351953,150,1000
1,landscape,NA,NA,frac_mn,1.0940953120449355,151,1000
1,landscape,NA,NA,msidi,-0,151,1000
1,landscape,NA,NA,para_mn,0.14741193594240837,151,1000
1,landscape,NA,NA,shdi,0,151,1000
2,landscape,NA,NA,frac_mn,1.0782643798258125,151,1000
2,landscape,NA,NA,msidi,0.8335132187124418,151,1000
2,landscape,NA,NA,para_mn,0.29136204888924555,151,1000
2,landscape,NA,NA,shdi,0.97105934638044,151,1000
1,landscape,NA,NA,frac_mn,1.1115415393581078,153,1000
1,landscape,NA,NA,msidi,-0,153,1000
1,landscape,NA,NA,para_mn,0.14594795703880512,153,1000
1,landscape,NA,NA,shdi,0,153,1000
2,landscape,NA,NA,frac_mn,1.0691470586941791,153,1000
2,landscape,NA,NA,msidi,0.21531940025391574,153,1000
2,landscape,NA,NA,para_mn,0.2881502797247481,153,1000
2,landscape,NA,NA,shdi,0.39608657441411843,153,1000
1,landscape,NA,NA,frac_mn,1.1130007846927161,154,1000
1,landscape,NA,NA,msidi,-0,154,1000
1,landscape,NA,NA,para_mn,0.0930982077400545,154,1000
1,landscape,NA,NA,shdi,0,154,1000
2,landscape,NA,NA,frac_mn,1.0671851971530388,154,1000
2,landscape,NA,NA,msidi,0.30464977776251534,154,1000
2,landscape,NA,NA,para_mn,0.2933858689440219,154,1000
2,landscape,NA,NA,shdi,0.5790995142814412,154,1000
1,landscape,NA,NA,frac_mn,1.1058113006676888,155,1000
1,landscape,NA,NA,msidi,-0,155,1000
1,landscape,NA,NA,para_mn,0.10570757622700634,155,1000
1,landscape,NA,NA,shdi,0,155,1000
2,landscape,NA,NA,frac_mn,1.0778504946446132,155,1000
2,landscape,NA,NA,msidi,0.41301275793890463,155,1000
2,landscape,NA,NA,para_mn,0.3108972795706687,155,1000
2,landscape,NA,NA,shdi,0.7445962321037803,155,1000
1,landscape,NA,NA,frac_mn,1.1091955301448846,156,1000
1,landscape,NA,NA,msidi,-0,156,1000
1,landscape,NA,NA,para_mn,0.10362771577140648,156,1000
1,landscape,NA,NA,shdi,0,156,1000
2,landscape,NA,NA,frac_mn,1.0777930008844296,156,1000
2,landscape,NA,NA,msidi,0.8807528441019347,156,1000
2,landscape,NA,NA,para_mn,0.28330501566362243,156,1000
2,landscape,NA,NA,shdi,0.9938355575680684,156,1000
1,landscape,NA,NA,frac_mn,1.1445530431313984,161,1000
1,landscape,NA,NA,msidi,-0,161,1000
1,landscape,NA,NA,para_mn,0.192293881912626,161,1000
1,landscape,NA,NA,shdi,0,161,1000
